Model,Accuracy,Weighted_F1,Macro_F1
LogisticRegression,0.700753851196329,0.7006758814514472,0.7213848578500569
SVM,0.7098656178302196,0.7093452075124719,0.7287508208948976
RandomForest,0.7241560144215011,0.7242776520601817,0.7449725004496929
ANN,0.7362176335627663,0.7345579349286719,0.7380111983750001
